Parent|Status|Heading|Suggested Unit|Suggested Type|Description|Example
AFLK|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
AFLK|*|SAMP_REF||X|Sample reference|24
AFLK|*|SAMP_TYPE||PA|Sample type|U
AFLK|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
AFLK|*|SPEC_REF||X|Specimen reference|1a
AFLK|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
AFLK||SPEC_DESC||X|Specimen description|Grey angular limestone
AFLK||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
AFLK||AFLK_FI|%|0DP|Aggregate flakiness index|9
AFLK||AFLK_MASS|kg|1DP|Mass of test portion|35.1
AFLK||AFLK_REM||X|Remarks|
AFLK||AFLK_METH||X|Test method|BS EN 933-3:2012
AFLK||AFLK_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
AFLK||AFLK_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
AFLK||TEST_STAT||X|Test status|Checked
AFLK||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
AFLK||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
AFLK||AFLK_DEV||X|Deviation from the specified procedure|
AIVT|*|LOCA_ID||ID|Location identifier|327-16A
AIVT|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
AIVT|*|SAMP_REF||X|Sample reference|24
AIVT|*|SAMP_TYPE||PA|Sample type|U
AIVT|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
AIVT|*|SPEC_REF||X|Specimen reference|1a
AIVT|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
AIVT||SPEC_DESC||X|Specimen description|Grey angular limestone
AIVT||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
AIVT||AIVT_AIV1|%|2DP|Aggregate impact value test 1|15.01
AIVT||AIVT_AIV2|%|2DP|Aggregate impact value test 2|15.03
AIVT||AIVT_AIV|%|1DP|Mean aggregate impact value|15
AIVT||AIVT_FRAC||X|Size fraction from which test portion was obtained|50% between 8mm and 10mm, 25% between 10mm and 11.2mm, 25% between 11.2mm and 12.5mm
AIVT||AIVT_PDEN|Mg/m3|2DP|Particle density of size fraction between 8 mm and 12.5mm|2.53
AIVT||AIVT_REM||X|Remarks|
AIVT||AIVT_METH||X|Test method|BS EN 1097-2:202
AIVT||AIVT_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
AIVT||AIVT_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
AIVT||TEST_STAT||X|Test status|Checked
AIVT||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
AIVT||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
AIVT||AIVT_DEV||X|Deviation from the specified procedure|
ALOS|*|LOCA_ID||ID|Location identifier|327-16A
ALOS|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
ALOS|*|SAMP_REF||X|Sample reference|24
ALOS|*|SAMP_TYPE||PA|Sample type|U
ALOS|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
ALOS|*|SPEC_REF||X|Specimen reference|1a
ALOS|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
ALOS||SPEC_DESC||X|Specimen description|Grey angular limestone
ALOS||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
ALOS||ALOS_LOSA||0DP|Los Angeles coefficient|15
ALOS||ALOS_LOPW|%|0DP|Los Angeles percentage wear|10
ALOS||ALOS_LOWR||0DP|Los Angeles wear ratio|8
ALOS||ALOS_FRAC||X|Size fraction from which test portion was obtained|10-14mm with between 60% and 70% passing a 12.5mm test sieve.
ALOS||ALOS_CHAR||X|Ball load or charge grading|11 steel balls 45-49mm, total load 4800g
ALOS||ALOS_REM||X|Remarks|
ALOS||ALOS_METH||X|Test method|BS EN 1097-2:202
ALOS||ALOS_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
ALOS||ALOS_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
ALOS||TEST_STAT||X|Test status|Checked
ALOS||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
ALOS||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
ALOS||ALOS_DEV||X|Deviation from the specified procedure|
APSV|*|LOCA_ID||ID|Location identifier|327-16A
APSV|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
APSV|*|SAMP_REF||X|Sample reference|24
APSV|*|SAMP_TYPE||PA|Sample type|U
APSV|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
APSV|*|SPEC_REF||X|Specimen reference|1a
APSV|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
APSV||SPEC_DESC||X|Specimen description|Grey angular limestone
APSV||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
APSV||APSV_AAV||0DP|Aggregate polished stone value|67
APSV||APSV_REM||X|Remarks|
APSV||APSV_METH||X|Test method|BS 812-114:1989
APSV||APSV_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
APSV||APSV_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
APSV||TEST_STAT||X|Test status|Checked
APSV||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
APSV||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
APSV||APSV_DEV||X|Deviation from the specified procedure|
ARTW|*|LOCA_ID||ID|Location identifier|327-16A
ARTW|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
ARTW|*|SAMP_REF||X|Sample reference|24
ARTW|*|SAMP_TYPE||PA|Sample type|U
ARTW|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
ARTW|*|SPEC_REF||X|Specimen reference|1a
ARTW|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
ARTW||SPEC_DESC||X|Specimen description|Grey angular limestone
ARTW||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
ARTW||ARTW_FRAC||X|Size fraction on which sample obtained|10 to 14mm aggregate grading a)
ARTW||ARTW_TYPE||PA|Type of test|WET
ARTW||ARTW_MD1||1DP|Micro-Deval coefficient for test specimen one|24.3
ARTW||ARTW_MD2||1DP|Micro-Deval coefficient for test specimen two|24.3
ARTW||ARTW_MDE||0DP|Mean micro-Deval value (dry)|24
ARTW||ARTW_MDS||0DP|Mean micro-Deval value (wet)|24
ARTW||ARTW_DATE|yyyymm-dd|DT|Date control 2 polished stone value first run|37662
ARTW||ARTW_REM||X|Remarks|
ARTW||ARTW_METH||X|Test method|BS EN 1097-1:2011
ARTW||ARTW_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
ARTW||ARTW_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
ARTW||TEST_STAT||X|Test status|Checked
ARTW||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
ARTW||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
ARTW||ARTW_DEV||X|Deviation from the specified procedure|
ASDI|*|LOCA_ID||ID|Location identifier|327-16A
ASDI|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
ASDI|*|SAMP_REF||X|Sample reference|24
ASDI|*|SAMP_TYPE||PA|Sample type|U
ASDI|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
ASDI|*|SPEC_REF||X|Specimen reference|1a
ASDI|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
ASDI||SPEC_DESC||X|Specimen description|Grey angular limestone
ASDI||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
ASDI||ASDI_SDI1|%|1DP|First cycle slake durability index (if ASDI_SDI1 or ASDI_SDI2 is between 0% and 10%)|6.1
ASDI||ASDI_SDI2|%|1DP|Second cycle slake durability index|8.6
ASDI||ASDI_SOLN||X|Nature and temperature of slaking fluid|Tap water at 20 DegC
ASDI||ASDI_INDR||X|Appearance of fragments retained in the drum|All fragments showing partial disintegration
ASDI||ASDI_PADR||X|Appearance of fragments passing through the drum|Fine particles in suspension with thin layer of larger particles in base of trough.
ASDI||ASDI_REM||X|Remarks|
ASDI||ASDI_METH||X|Test method|ISRM: Suggested method for determining slake durability index.
ASDI||ASDI_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
ASDI||ASDI_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
ASDI||TEST_STAT||X|Test status|Checked
ASDI||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
ASDI||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
ASDI||ASDI_DEV||X|Deviation from the specified procedure|
ASNS|*|LOCA_ID||ID|Location identifier|327-16A
ASNS|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
ASNS|*|SAMP_REF||X|Sample reference|24
ASNS|*|SAMP_TYPE||PA|Sample type|U
ASNS|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
ASNS|*|SPEC_REF||X|Specimen reference|1a
ASNS|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
ASNS||SPEC_DESC||X|Specimen description|Grey angular limestone
ASNS||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
ASNS||ASNS_SOUN|%|0DP|Aggregate soundness test|12
ASNS||ASNS_FRAC||X|Size fraction from which test portion was obtained|10-14mm aggregate
ASNS||ASNS_REM||X|Remarks|
ASNS||ASNS_METH||X|Test method|BS 812-121:1989 - Magnesium Sulfate
ASNS||ASNS_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
ASNS||ASNS_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
ASNS||TEST_STAT||X|Test status|Checked
ASNS||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
ASNS||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
ASNS||ASNS_DEV||X|Deviation from the specified procedure|
AWAD|*|LOCA_ID||ID|Location identifier|327-16A
AWAD|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
AWAD|*|SAMP_REF||X|Sample reference|24
AWAD|*|SAMP_TYPE||PA|Sample type|U
AWAD|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
AWAD|*|SPEC_REF||X|Specimen reference|1a
AWAD|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
AWAD||SPEC_DESC||X|Specimen description|Grey angular limestone
AWAD||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
AWAD||AWAD_WTAB|%|1DP|Aggregate water absorption|2.6
AWAD||AWAD_REM||X|Remarks|
AWAD||AWAD_METH||X|Test method|BS 812 - Gas jar method 10 mm aggregate
AWAD||AWAD_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
AWAD||AWAD_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
AWAD||TEST_STAT||X|Test status|Checked
AWAD||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
AWAD||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
AWAD||AWAD_DEV||X|Deviation from the specified procedure|
BKFL|*|LOCA_ID||ID|Location identifier|327-16A
BKFL|*|BKFL_TOP|m|2DP|Depth to top of section|1.4
BKFL||BKFL_BASE|m|2DP|Depth to base of section|11.4
BKFL||BKFL_DESC||X|Backfill description|Arisings
BKFL||BKFL_LEG||PA|Backfill legend abbreviation|901
BKFL||BKFL_DATE|yyyymm-dd|DT|Date of completion of backfill|38078
BKFL||BKFL_REM||X|Backfill remarks including how it was placed|
BKFL||FILE_FSET||X|Associated file reference (e.g. drilling journals)|FS20
CBRG|*|LOCA_ID||ID|Location identifier|327-16A
CBRG|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CBRG|*|SAMP_REF||X|Sample reference|24
CBRG|*|SAMP_TYPE||PA|Sample type|U
CBRG|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CBRG|*|SPEC_REF||X|Specimen reference|1a
CBRG|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
CBRG||SPEC_DESC||X|Specimen description|Grey slightly gravelly clay
CBRG||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Stored at constant water/moisture content for 7 days, then soaked for 7 days, maintained at 20±2°C throughout
CBRG||CBRG_COND||PA|Sample condition|UNDISTURBED
CBRG||CBRG_NMC|%|X|Natural water/moisture content of specimen prior to test|16.4
CBRG||CBRG_200|%|0DP|Weight percent retained on 20mm sieve|10
CBRG||CBRG_STAB|%|2SF|Amount of stabiliser added|23
CBRG||CBRG_STYP||X|Type of stabiliser added|Cement
CBRG||CBRG_REM||X|Remarks including commentary on effect of specimen disturbance on test result|Specimen lifted during penetration
CBRG||CBRG_METH||X|Test method including remoulding|BS1377: Part 4: 1990 4.5kg compactive effort
CBRG||CBRG_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
CBRG||CBRG_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
CBRG||TEST_STAT||X|Test status|Checked
CBRG||FILE_FSET||X|Associated file reference (e.g. equipment calibrations)|FS16
CBRG||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
CBRG||CBRG_DEV||X|Deviation from the specified procedure|
CBRT|*|LOCA_ID||ID|Location identifier|327-16A
CBRT|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CBRT|*|SAMP_REF||X|Sample reference|24
CBRT|*|SAMP_TYPE||PA|Sample type|U
CBRT|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CBRT|*|SPEC_REF||X|Specimen reference|1a
CBRT|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
CBRT|*|CBRT_TESN||X|Test reference|1
CBRT||CBRT_TOP|%|2SF|CBR at top|6.4
CBRT||CBRT_BASE|%|2SF|CBR at bottom|5.2
CBRT||CBRT_MCT|%|X|Water/moisture content at top after test|15.1
CBRT||CBRT_MCBT|%|X|Water/moisture content at bottom after test|14.2
CBRT||CBRT_IMC|%|X|Initial water/moisture content|21.3
CBRT||CBRT_BDEN|Mg/m3|2DP|Initial bulk density|1.84
CBRT||CBRT_DDEN|Mg/m3|2DP|Initial Dry density|1.6
CBRT||CBRT_SURC|kPa|0DP|Surcharge pressure applied|10
CBRT||CBRT_SKDT||X|Details of soaking|4 days in tap water
CBRT||CBRT_SWEL|mm|1DP|Amount of swell recorded during soaking (if applicable)|3
CBRT||CBRT_REM||X|Test specific remarks|
CBRT||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS16
CDIA|*|LOCA_ID||ID|Location identifier|327-16A
CDIA|*|CDIA_DPTH|m|2DP|Depth of base of casing recorded in CDIA_DIAM|18
CDIA|*|CDIA_DIAM|mm|0DP|Casing diameter|200
CDIA||CDIA_REM||X|Remarks|
CDIA||FILE_FSET||X|Associated file reference (e.g. casing cement records)|FS20
CHIS|*|LOCA_ID||ID|Location identifier|327-16A
CHIS|*|CHIS_FROM|m|2DP|Depth at start of chiselling|5.2
CHIS||CHIS_TO|m|2DP|Depth at end of chiselling|5.35
CHIS||CHIS_TIME|hh:mm|T|Time taken|0.020833333
CHIS||CHIS_STAR|yyyy-mmddThh:mm|DT|Start time|2004-04-01T09:00
CHIS||CHIS_TOOL||X|Chiselling tool used|Shell
CHIS||CHIS_REM||X|Notes on chiselling|Chiselling sandstone boulder
CHIS||FILE_FSET||X|Associated file reference (e.g. drilling journals)|FS20
CHOC|*|LOCA_ID||ID|Location identifier|327-16A
CHOC|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CHOC|*|SAMP_REF||X|Sample reference|24
CHOC|*|SAMP_TYPE||PA|Sample type|U
CHOC|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CHOC|*|CHOC_REF||X|Chain of custody reference|A1241/1
CHOC||CHOC_FROM||X|Samples despatched from|ACME Sampling Ltd
CHOC||CHOC_TO||X|Samples despatched to|ACME Laboratories plc
CHOC||CHOC_DDIS|yyyymm-dd|DT|Date dispatched|40076
CHOC||CHOC_BTCH||X|Batch reference|S234-1
CHOC||CHOC_REM||X|Remarks|
CHOC||CHOC_CONT||0DP|Number of sample containers|1
CHOC||FILE_FSET||X|Associated file reference (chain of custody sheets)|FS99
CMPG|*|LOCA_ID||ID|Location identifier|327-16A
CMPG|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CMPG|*|SAMP_REF||X|Sample reference|24
CMPG|*|SAMP_TYPE||PA|Sample type|U
CMPG|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CMPG|*|SPEC_REF||X|Specimen reference|1a
CMPG|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
CMPG|*|CMPG_TESN||X|Test number|1
CMPG||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Stored at constant water/moisture content for 7 days, then soaked for 7 days, maintained at 20±2°C throughout
CMPG||SPEC_DESC||X|Specimen description|Grey slightly gravelly clay
CMPG||CMPG_TYPE||PA|Compaction test type|2.5kg
CMPG||CMPG_MOLD||PA|Compaction mould type|1 litre
CMPG||CMPG_375|%|0DP|Weight percent of material retained on 37.5mm sieve|7
CMPG||CMPG_200|%|0DP|Weight percent of material retained on 20mm sieve|15
CMPG||CMPG_PDEN|Mg/m3|XN|Particle density with prefix # if value assumed|#2.65
CMPG||CMPG_MAXD|Mg/m3|2DP|Maximum dry density|2.06
CMPG||CMPG_MCOP|%|2SF|Moisture content at maximum dry density (Optimum)|14
CMPG||CMPG_STAB|%|2SF|Amount of stabiliser added|23
CMPG||CMPG_STYP||X|Type of stabiliser added|Cement
CMPG||CMPG_REM||X|Remarks including commentary on effect of specimen disturbance on test result|Single sample used
CMPG||CMPG_METH||X|Test method|BS1377:Part 4:1990,cl 3.3
CMPG||CMPG_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
CMPG||CMPG_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
CMPG||TEST_STAT||X|Test status|Checked
CMPG||FILE_FSET||X|Associated file reference (e.g. equipment calibrations)|FS23
CMPG||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
CMPG||CMPG_DEV||X|Deviation from the specified procedure|
CMPT|*|LOCA_ID||ID|Location identifier|327-16A
CMPT|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CMPT|*|SAMP_REF||X|Sample reference|24
CMPT|*|SAMP_TYPE||PA|Sample type|U
CMPT|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CMPT|*|SPEC_REF||X|Specimen reference|1a
CMPT|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
CMPT|*|CMPG_TESN||X|Test number|1
CMPT|*|CMPT_TESN||X|Compaction point number|1
CMPT||CMPT_MC|%|X|Water/moisture content|7.8
CMPT||CMPT_DDEN|Mg/m3|3DP|Dry density at CMPT_MC moisture content|1.852
CMPT||CMPT_REM||X|Remarks|
CMPT||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS23
CONG|*|LOCA_ID||ID|Location identifier|327-16A
CONG|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CONG|*|SAMP_REF||X|Sample reference|24
CONG|*|SAMP_TYPE||PA|Sample type|U
CONG|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CONG|*|SPEC_REF||X|Specimen reference|1a
CONG|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
CONG||SPEC_DESC||X|Specimen description|Grey slightly gravelly clay
CONG||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Sample from base of U100 sample, axis vertical
CONG||CONG_TYPE||PA|Type of consolidation test|OEDOMETER
CONG||CONG_COND||PA|Sample condition|UNDISTURBED
CONG||CONG_SDIA|mm|2DP|Test specimen diameter|75.15
CONG||CONG_HIGT|mm|2DP|Test specimen height|19.25
CONG||CONG_MCI|%|X|Initial water/moisture content|21.1
CONG||CONG_MCF|%|X|Final water/moisture content|18.8
CONG||CONG_BDEN|Mg/m3|2DP|Initial bulk density|2.12
CONG||CONG_DDEN|Mg/m3|2DP|Initial dry density|1.75
CONG||CONG_PDEN|Mg/m3|XN|Particle density with prefix # if value assumed|#2.65
CONG||CONG_SATR|%|0DP|Initial degree of saturation|98
CONG||CONG_SPRS|kPa|2SF|Swelling pressure|100
CONG||CONG_SATH|%|1DP|Height change of specimen on saturation, or flooding as percentage of original height (BS1377 Settlement on saturation test)|1.1
CONG||CONG_IVR||3DP|Initial voids ratio|0.8
CONG||CONG_REM||X|Remarks including commentary on effect of specimen disturbance on test result|Swell test prior to standard Oedometer
CONG||CONG_METH||X|Test method|K H Head
CONG||CONG_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
CONG||CONG_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
CONG||TEST_STAT||X|Test status|Checked
CONG||FILE_FSET||X|Associated file reference (e.g. equipment calibrations)|FS9
CONG||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
CONG||CONG_DEV||X|Deviations from the test method|5 increments carried out only.
